"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.02.2020","9.659,0","9.936,1","9.988,0","9.493,5","55,84K","-2,87%"
"23.02.2020","9.944,2","9.650,0","9.970,5","9.649,0","37,68K","3,03%"
"22.02.2020","9.651,8","9.678,4","9.705,4","9.560,6","24,64K","-0,27%"
"21.02.2020","9.677,7","9.597,3","9.755,0","9.571,3","42,18K","0,76%"
"20.02.2020","9.604,2","9.588,6","9.681,7","9.456,4","60,16K","0,09%"
"19.02.2020","9.595,6","10.168,8","10.230,0","9.380,2","55,15K","-5,52%"
"18.02.2020","10.156,1","9.707,1","10.250,0","9.596,7","70,61K","4,72%"
"17.02.2020","9.697,9","9.904,3","9.952,7","9.453,0","70,34K","-2,30%"
"16.02.2020","9.925,9","9.904,3","10.047,3","9.646,5","59,96K","0,20%"
"15.02.2020","9.906,3","10.352,8","10.373,0","9.814,8","57,66K","-4,24%"
"14.02.2020","10.344,5","10.229,9","10.372,5","10.113,2","47,04K","1,02%"
"13.02.2020","10.240,4","10.317,0","10.496,5","10.110,0","79,35K","-0,81%"
"12.02.2020","10.324,2","10.231,4","10.436,8","10.231,4","61,01K","0,97%"
"11.02.2020","10.225,0","9.856,3","10.323,4","9.718,0","62,40K","3,78%"
"10.02.2020","9.852,6","10.157,8","10.186,1","9.771,0","59,57K","-2,97%"
"09.02.2020","10.153,8","9.895,0","10.159,0","9.881,0","43,41K","2,58%"
"08.02.2020","9.898,1","9.813,7","9.937,3","9.671,9","43,61K","0,80%"
"07.02.2020","9.819,6","9.773,0","9.883,1","9.736,0","43,95K","0,51%"
"06.02.2020","9.770,0","9.620,8","9.859,4","9.536,7","64,95K","1,63%"
"05.02.2020","9.613,0","9.196,5","9.727,4","9.179,6","64,87K","4,52%"
"04.02.2020","9.197,2","9.302,0","9.347,8","9.100,3","53,35K","-1,05%"
"03.02.2020","9.295,1","9.326,9","9.580,1","9.243,0","50,90K","-0,34%"
"02.02.2020","9.326,8","9.383,1","9.467,3","9.204,8","45,66K","-0,65%"
"01.02.2020","9.387,7","9.354,7","9.463,0","9.302,0","28,58K","0,37%"
"31.01.2020","9.352,8","9.512,5","9.530,0","9.232,1","45,56K","-1,69%"
"30.01.2020","9.513,3","9.290,0","9.576,4","9.213,7","60,63K","2,29%"
"29.01.2020","9.300,5","9.396,2","9.432,3","9.256,6","53,87K","-0,71%"
"28.01.2020","9.367,0","8.917,3","9.389,0","8.911,0","74,55K","5,16%"
"27.01.2020","8.907,6","8.621,3","9.000,0","8.585,0","53,97K","3,43%"
"26.01.2020","8.612,5","8.327,5","8.615,2","8.304,2","31,16K","3,27%"
"25.01.2020","8.340,0","8.439,5","8.450,0","8.272,9","25,51K","-1,16%"
"24.01.2020","8.437,5","8.405,0","8.522,9","8.238,8","41,69K","0,33%"
"23.01.2020","8.409,8","8.686,6","8.686,6","8.310,3","48,15K","-3,14%"
"22.01.2020","8.682,1","8.745,0","8.807,3","8.600,5","29,08K","-0,59%"
"21.01.2020","8.733,3","8.649,1","8.777,5","8.518,0","36,50K","1,06%"
"20.01.2020","8.641,8","8.711,4","8.743,3","8.523,4","38,91K","-0,69%"
"19.01.2020","8.701,6","8.912,4","9.196,8","8.542,2","70,68K","-2,44%"
"18.01.2020","8.919,3","8.905,8","8.985,2","8.806,8","38,29K","0,08%"
"17.01.2020","8.912,6","8.722,5","9.018,0","8.676,7","70,90K","2,07%"
"16.01.2020","8.732,0","8.824,6","8.859,2","8.601,8","51,98K","-1,10%"
"15.01.2020","8.829,2","8.802,6","8.912,4","8.573,7","84,88K","-0,12%"
"14.01.2020","8.840,0","8.112,6","8.876,1","8.112,6","120,38K","9,03%"
"13.01.2020","8.107,8","8.184,6","8.195,0","8.060,0","31,16K","-0,91%"
"12.01.2020","8.182,4","8.005,9","8.189,4","7.968,0","38,09K","2,02%"
"11.01.2020","8.020,0","8.176,4","8.284,8","8.006,2","54,82K","-2,13%"
"10.01.2020","8.194,9","7.817,8","8.197,4","7.684,7","82,39K","4,76%"
"09.01.2020","7.822,2","8.052,8","8.052,8","7.753,7","64,25K","-2,83%"
"08.01.2020","8.049,8","8.147,1","8.450,5","7.880,8","112,65K","-1,33%"
"07.01.2020","8.158,6","7.769,2","8.186,8","7.740,0","91,15K","5,17%"
"06.01.2020","7.757,2","7.352,4","7.783,5","7.348,4","54,63K","5,44%"
"05.01.2020","7.357,2","7.355,1","7.489,4","7.323,9","38,33K","0,07%"
"04.01.2020","7.351,9","7.340,5","7.398,5","7.284,0","30,04K","0,22%"
"03.01.2020","7.335,6","6.964,4","7.399,0","6.878,8","68,38K","5,35%"
"02.01.2020","6.962,7","7.193,4","7.212,5","6.943,8","31,96K","-3,30%"
"01.01.2020","7.200,6","7.190,6","7.254,9","7.175,8","16,79K","0,08%"
"31.12.2019","7.194,9","7.246,4","7.317,0","7.146,2","25,95K","-0,69%"
"30.12.2019","7.244,6","7.382,0","7.405,5","7.220,0","29,62K","-1,97%"
"29.12.2019","7.390,0","7.314,4","7.525,2","7.288,0","31,39K","1,02%"
"28.12.2019","7.315,6","7.256,2","7.363,2","7.239,6","26,85K","0,85%"
"27.12.2019","7.254,0","7.199,7","7.268,1","7.103,5","33,64K","0,71%"
"26.12.2019","7.202,5","7.204,5","7.427,5","7.159,5","36,26K","0,00%"
"25.12.2019","7.202,6","7.261,0","7.267,5","7.129,0","27,50K","-0,73%"
"24.12.2019","7.255,8","7.322,7","7.422,1","7.163,9","43,63K","-0,84%"
"23.12.2019","7.317,1","7.513,3","7.690,0","7.270,0","68,05K","-2,46%"
"22.12.2019","7.501,9","7.129,7","7.505,8","7.123,2","39,13K","5,18%"
"21.12.2019","7.132,7","7.188,0","7.188,0","7.113,7","19,47K","-0,76%"
"20.12.2019","7.187,6","7.156,8","7.212,7","7.083,0","32,13K","0,50%"
"19.12.2019","7.151,8","7.285,3","7.349,9","7.047,0","55,53K","-1,66%"
"18.12.2019","7.272,3","6.623,9","7.398,0","6.439,9","95,61K","9,85%"
"17.12.2019","6.620,0","6.894,0","6.938,8","6.577,7","53,86K","-3,95%"
"16.12.2019","6.892,4","7.121,0","7.147,0","6.847,2","43,87K","-3,18%"
"15.12.2019","7.119,1","7.064,0","7.194,1","7.013,9","26,39K","0,72%"
"14.12.2019","7.067,9","7.254,4","7.271,5","7.012,7","29,56K","-2,61%"
"13.12.2019","7.257,1","7.201,5","7.297,1","7.193,5","27,61K","0,83%"
"12.12.2019","7.197,2","7.242,6","7.274,5","7.101,5","42,29K","-0,16%"
"11.12.2019","7.208,8","7.223,0","7.269,5","7.142,4","30,10K","-0,23%"
"10.12.2019","7.225,0","7.333,2","7.393,4","7.173,0","49,73K","-1,58%"
